nonce	nonce_disc	syl_struc	n_neighbours
níbü	nIby	cvbv	0
fóbö	fObw	cvbv	0
tyőbö	KWbw	cvbv	0
míbá	mIbA	cvbv	0
dzsűbö	DYbw	cvbv	0
dzabu	dzabu	cvbv	0
pébu	pEbu	cvbv	0
dzábő	dzAbW	cvbv	0
zöbö	zwbw	cvbv	0
dzsibö	Dibw	cvbv	0
szábü	sAby	cvbv	0
pebé	pebE	cvbv	0
nibö	nibw	cvbv	0
zsőbú	ZWbU	cvbv	0
csőbö	TWbw	cvbv	0
nyübo	Nybo	cvbv	0
hübű	hybY	cvbv	0
főbű	fWbY	cvbv	0
vübú	vybU	cvbv	0
nábó	nAbO	cvbv	0
míbi	mIbi	cvbv	0
kíbú	kIbU	cvbv	0
cóbű	cObY	cvbv	0
csűbó	TYbO	cvbv	0
pebö	pebw	cvbv	0
dzibó	dzibO	cvbv	0
díbo	dIbo	cvbv	0
tyábe	KAbe	cvbv	0
líbő	lIbW	cvbv	0
vabö	vabw	cvbv	0
főbu	fWbu	cvbv	0
dzsúbu	DUbu	cvbv	0
dzöbö	dzwbw	cvbv	0
szöbí	swbI	cvbv	0
fabü	faby	cvbv	0
tyőbe	KWbe	cvbv	0
fíbe	fIbe	cvbv	0
műbí	mYbI	cvbv	0
jőbu	jWbu	cvbv	0
nebú	nebU	cvbv	0
tyubí	KubI	cvbv	0
dzőbí	dzWbI	cvbv	0
vubí	vubI	cvbv	0
zsübí	ZybI	cvbv	0
jőbo	jWbo	cvbv	0
zsöbü	Zwby	cvbv	0
szíbo	sIbo	cvbv	0
tőbő	tWbW	cvbv	0
píbu	pIbu	cvbv	0
tyőbő	KWbW	cvbv	0
gibű	gibY	cvbv	0
gűbő	gYbW	cvbv	0
jábö	jAbw	cvbv	0
nyübé	NybE	cvbv	0
tyóbo	KObo	cvbv	0
vúbő	vUbW	cvbv	0
pűbü	pYby	cvbv	0
púbé	pUbE	cvbv	0
dzsíbe	DIbe	cvbv	0
rúbo	rUbo	cvbv	0
gűbú	gYbU	cvbv	0
dzübű	dzybY	cvbv	0
vábö	vAbw	cvbv	0
dzübu	dzybu	cvbv	0
szőbü	sWby	cvbv	0
dzebö	dzebw	cvbv	0
póbú	pObU	cvbv	0
zsubú	ZubU	cvbv	0
júbő	jUbW	cvbv	0
dzábó	dzAbO	cvbv	0
fábo	fAbo	cvbv	0
csubű	TubY	cvbv	0
fábű	fAbY	cvbv	0
dzöbá	dzwbA	cvbv	0
dzsobu	Dobu	cvbv	0
szébá	sEbA	cvbv	0
líbe	lIbe	cvbv	0
pöbó	pwbO	cvbv	0
nyábö	NAbw	cvbv	0
zsőbu	ZWbu	cvbv	0
zőbé	zWbE	cvbv	0
dzsíbö	DIbw	cvbv	0
púbő	pUbW	cvbv	0
szubá	subA	cvbv	0
cőbi	cWbi	cvbv	0
nóbo	nObo	cvbv	0
sábú	SAbU	cvbv	0
fübá	fybA	cvbv	0
dzsűbá	DYbA	cvbv	0
zúbá	zUbA	cvbv	0
tebú	tebU	cvbv	0
súbu	SUbu	cvbv	0
csóbú	TObU	cvbv	0
nóbe	nObe	cvbv	0
zubö	zubw	cvbv	0
tyúbű	KUbY	cvbv	0
zűbá	zYbA	cvbv	0
pübú	pybU	cvbv	0
dűbü	dYby	cvbv	0
jöbó	jwbO	cvbv	0
dzsúbi	DUbi	cvbv	0
cobú	cobU	cvbv	0
pábü	pAby	cvbv	0
cűba	cYba	cvbv	0
gobú	gobU	cvbv	0
sübű	SybY	cvbv	0
nyébű	NEbY	cvbv	0
túbé	tUbE	cvbv	0
gobí	gobI	cvbv	0
dzsabe	Dabe	cvbv	0
löbú	lwbU	cvbv	0
pűbú	pYbU	cvbv	0
kűbú	kYbU	cvbv	0
pőbö	pWbw	cvbv	0
cébű	cEbY	cvbv	0
kóbú	kObU	cvbv	0
pibá	pibA	cvbv	0
sőbá	SWbA	cvbv	0
róbú	rObU	cvbv	0
zübő	zybW	cvbv	0
tyűbü	KYby	cvbv	0
díbé	dIbE	cvbv	0
zsíbá	ZIbA	cvbv	0
szöbö	swbw	cvbv	0
mübé	mybE	cvbv	0
nyübú	NybU	cvbv	0
dzubö	dzubw	cvbv	0
lőbo	lWbo	cvbv	0
mőbő	mWbW	cvbv	0
dzöbé	dzwbE	cvbv	0
szőbu	sWbu	cvbv	0
lubű	lubY	cvbv	0
szíbí	sIbI	cvbv	0
zsébu	ZEbu	cvbv	0
sóbú	SObU	cvbv	0
híbö	hIbw	cvbv	0
nobü	noby	cvbv	0
nyúbü	NUby	cvbv	0
vóbo	vObo	cvbv	0
dzübü	dzyby	cvbv	0
dzőbe	dzWbe	cvbv	0
púbá	pUbA	cvbv	0
dzsöbí	DwbI	cvbv	0
nyöbá	NwbA	cvbv	0
lébú	lEbU	cvbv	0
kübö	kybw	cvbv	0
fűbe	fYbe	cvbv	0
jibé	jibE	cvbv	0
nöbo	nwbo	cvbv	0
jéba	jEba	cvbv	0
gobü	goby	cvbv	0
nyobü	Noby	cvbv	0
vube	vube	cvbv	0
sőbí	SWbI	cvbv	0
dzsűbo	DYbo	cvbv	0
vabú	vabU	cvbv	0
szábí	sAbI	cvbv	0
débű	dEbY	cvbv	0
nyebo	Nebo	cvbv	0
dzsőbu	DWbu	cvbv	0
rőbá	rWbA	cvbv	0
dzübá	dzybA	cvbv	0
csűbú	TYbU	cvbv	0
múbi	mUbi	cvbv	0
mübí	mybI	cvbv	0
sóbá	SObA	cvbv	0
kíbu	kIbu	cvbv	0
jubő	jubW	cvbv	0
dzsébé	DEbE	cvbv	0
tyibu	Kibu	cvbv	0
zíbü	zIby	cvbv	0
tyőbu	KWbu	cvbv	0
dzebo	dzebo	cvbv	0
dűbá	dYbA	cvbv	0
szubú	subU	cvbv	0
zőbü	zWby	cvbv	0
dőbo	dWbo	cvbv	0
tyőbí	KWbI	cvbv	0
níbö	nIbw	cvbv	0
tyőbá	KWbA	cvbv	0
söbő	SwbW	cvbv	0
vúbú	vUbU	cvbv	0
dzsébí	DEbI	cvbv	0
múbu	mUbu	cvbv	0
dábo	dAbo	cvbv	0
dőbé	dWbE	cvbv	0
tyibü	Kiby	cvbv	0
tyüba	Kyba	cvbv	0
zsűbo	ZYbo	cvbv	0
szébu	sEbu	cvbv	0
lubá	lubA	cvbv	0
dzsabő	DabW	cvbv	0
nubí	nubI	cvbv	0
tyűbö	KYbw	cvbv	0
zsöbő	ZwbW	cvbv	0
mubö	mubw	cvbv	0
dzsábű	DAbY	cvbv	0
cöbé	cwbE	cvbv	0
tobe	tobe	cvbv	0
dzöbü	dzwby	cvbv	0
nyübe	Nybe	cvbv	0
gúbö	gUbw	cvbv	0
zsúbé	ZUbE	cvbv	0
pábő	pAbW	cvbv	0
tyíbő	KIbW	cvbv	0
dzübe	dzybe	cvbv	0
dzebű	dzebY	cvbv	0
vibö	vibw	cvbv	0
dzsíbű	DIbY	cvbv	0
dzébé	dzEbE	cvbv	0
zsübű	ZybY	cvbv	0
nyőbi	NWbi	cvbv	0
jübó	jybO	cvbv	0
pibü	piby	cvbv	0
nyobú	NobU	cvbv	0
nyube	Nube	cvbv	0
sobő	SobW	cvbv	0
gúbü	gUby	cvbv	0
tyábú	KAbU	cvbv	0
nyibí	NibI	cvbv	0
löbe	lwbe	cvbv	0
szébé	sEbE	cvbv	0
mübi	mybi	cvbv	0
dibo	dibo	cvbv	0
gébű	gEbY	cvbv	0
díbí	dIbI	cvbv	0
zsébő	ZEbW	cvbv	0
sübu	Sybu	cvbv	0
jébő	jEbW	cvbv	0
tyíbé	KIbE	cvbv	0
tyúbü	KUby	cvbv	0
höbí	hwbI	cvbv	0
nübű	NbY	cvbv	0
cabö	cabw	cvbv	0
vubo	vubo	cvbv	0
fóbú	fObU	cvbv	0
tyóbá	KObA	cvbv	0
gőbú	gWbU	cvbv	0
dzibő	dzibW	cvbv	0
tyíba	KIba	cvbv	0
nöba	nwba	cvbv	0
ríbö	rIbw	cvbv	0
pübű	pybY	cvbv	0
möbü	mwby	cvbv	0
csőbu	TWbu	cvbv	0
tyíbe	KIbe	cvbv	0
szűbö	sYbw	cvbv	0
fubő	fubW	cvbv	0
vübű	vybY	cvbv	0
szúbé	sUbE	cvbv	0
dzöbo	dzwbo	cvbv	0
zúbű	zUbY	cvbv	0
díbe	dIbe	cvbv	0
pébü	pEby	cvbv	0
zűbó	zYbO	cvbv	0
jöbo	jwbo	cvbv	0
mőbu	mWbu	cvbv	0
dzába	dzAba	cvbv	0
nőbu	nWbu	cvbv	0
tübú	GbU	cvbv	0
gébü	gEby	cvbv	0
kebó	kebO	cvbv	0
nebo	nebo	cvbv	0
nyúbö	NUbw	cvbv	0
kübű	kybY	cvbv	0
mube	mube	cvbv	0
cíbi	cIbi	cvbv	0
tyebú	KebU	cvbv	0
löbu	lwbu	cvbv	0
szibö	sibw	cvbv	0
tyobú	KobU	cvbv	0
vibá	vibA	cvbv	0
zúbé	zUbE	cvbv	0
dzsübö	Dybw	cvbv	0
fóbá	fObA	cvbv	0
cibű	cibY	cvbv	0
vobő	vobW	cvbv	0
gébá	gEbA	cvbv	0
nűbu	nYbu	cvbv	0
víbú	vIbU	cvbv	0
zöbű	zwbY	cvbv	0
rébő	rEbW	cvbv	0
nyebü	Neby	cvbv	0
tűbá	tYbA	cvbv	0
fébé	fEbE	cvbv	0
nabí	nabI	cvbv	0
dzóbe	dzObe	cvbv	0
vőbu	vWbu	cvbv	0
jóbü	jOby	cvbv	0
mábú	mAbU	cvbv	0
dzíbé	dzIbE	cvbv	0
sobu	Sobu	cvbv	0
dibá	dibA	cvbv	0
hóbí	hObI	cvbv	0
cubú	cubU	cvbv	0
vóbú	vObU	cvbv	0
nábü	nAby	cvbv	0
fúbe	fUbe	cvbv	0
föbö	fwbw	cvbv	0
szúbú	sUbU	cvbv	0
píbá	pIbA	cvbv	0
pebü	peby	cvbv	0
cübí	cybI	cvbv	0
dóbú	dObU	cvbv	0
dzébá	dzEbA	cvbv	0
jébó	jEbO	cvbv	0
sábő	SAbW	cvbv	0
jábí	jAbI	cvbv	0
zsíbe	ZIbe	cvbv	0
jóbu	jObu	cvbv	0
mobú	mobU	cvbv	0
csübo	Tybo	cvbv	0
cabo	cabo	cvbv	0
dzsubo	Dubo	cvbv	0
nabű	nabY	cvbv	0
dzsűbó	DYbO	cvbv	0
nűbi	nYbi	cvbv	0
tyábü	KAby	cvbv	0
dzübú	dzybU	cvbv	0
lebü	leby	cvbv	0
dzíbú	dzIbU	cvbv	0
cöbű	cwbY	cvbv	0
jabo	jabo	cvbv	0
jűbő	jYbW	cvbv	0
dzébí	dzEbI	cvbv	0
dzobé	dzobE	cvbv	0
dzabo	dzabo	cvbv	0
dzúbí	dzUbI	cvbv	0
dzíbó	dzIbO	cvbv	0
zúbü	zUby	cvbv	0
pöbo	pwbo	cvbv	0
dzsőbö	DWbw	cvbv	0
kübu	kybu	cvbv	0
műbe	mYbe	cvbv	0
cöbú	cwbU	cvbv	0
kűbe	kYbe	cvbv	0
gíbű	gIbY	cvbv	0
dzőbő	dzWbW	cvbv	0
tyübí	KybI	cvbv	0
gábű	gAbY	cvbv	0
tűbo	tYbo	cvbv	0
nyőbú	NWbU	cvbv	0
cőbó	cWbO	cvbv	0
lúbí	lUbI	cvbv	0
dzsúbü	DUby	cvbv	0
pabú	pabU	cvbv	0
dzsíbó	DIbO	cvbv	0
dzsóbu	DObu	cvbv	0
kobü	koby	cvbv	0
zsóbö	ZObw	cvbv	0
vébo	vEbo	cvbv	0
dzubó	dzubO	cvbv	0
nibá	nibA	cvbv	0
dzsíbü	DIby	cvbv	0
dzsíbu	DIbu	cvbv	0
fabá	fabA	cvbv	0
pűbo	pYbo	cvbv	0
vűba	vYba	cvbv	0
dzsébo	DEbo	cvbv	0
labő	labW	cvbv	0
nyübű	NybY	cvbv	0
jőbé	jWbE	cvbv	0
tyébí	KEbI	cvbv	0
vőbö	vWbw	cvbv	0
sőbö	SWbw	cvbv	0
műba	mYba	cvbv	0
cibu	cibu	cvbv	0
cűbé	cYbE	cvbv	0
fibo	fibo	cvbv	0
pobá	pobA	cvbv	0
nébí	nEbI	cvbv	0
vűbó	vYbO	cvbv	0
póbu	pObu	cvbv	0
sübé	SybE	cvbv	0
zübá	zybA	cvbv	0
vúbé	vUbE	cvbv	0
zsóbí	ZObI	cvbv	0
nyűbű	NYbY	cvbv	0
gibu	gibu	cvbv	0
dzsübí	DybI	cvbv	0
söbű	SwbY	cvbv	0
szőbö	sWbw	cvbv	0
dzabe	dzabe	cvbv	0
fabí	fabI	cvbv	0
nyőbe	NWbe	cvbv	0
débú	dEbU	cvbv	0
níba	nIba	cvbv	0
jübé	jybE	cvbv	0
tyibő	KibW	cvbv	0
löbá	lwbA	cvbv	0
dábe	dAbe	cvbv	0
tyubá	KubA	cvbv	0
dúbí	dUbI	cvbv	0
zóbú	zObU	cvbv	0
tyúbu	KUbu	cvbv	0
súbe	SUbe	cvbv	0
cobű	cobY	cvbv	0
mübő	mybW	cvbv	0
vúbu	vUbu	cvbv	0
tyube	Kube	cvbv	0
nébű	nEbY	cvbv	0
dzsebő	DebW	cvbv	0
nyöbí	NwbI	cvbv	0
szibű	sibY	cvbv	0
nőbú	nWbU	cvbv	0
gőbu	gWbu	cvbv	0
zibö	zibw	cvbv	0
cibo	cibo	cvbv	0
póbí	pObI	cvbv	0
jőbü	jWby	cvbv	0
tyíbi	KIbi	cvbv	0
nyubí	NubI	cvbv	0
jibo	jibo	cvbv	0
nyöbú	NwbU	cvbv	0
mabá	mabA	cvbv	0
sübí	SybI	cvbv	0
cőba	cWba	cvbv	0
kébo	kEbo	cvbv	0
tőbí	tWbI	cvbv	0
kűbő	kYbW	cvbv	0
csűbű	TYbY	cvbv	0
cüba	cyba	cvbv	0
dzsúbe	DUbe	cvbv	0
zébű	zEbY	cvbv	0
júbu	jUbu	cvbv	0
nűbű	nYbY	cvbv	0
híbü	hIby	cvbv	0
hebí	hebI	cvbv	0
nyabe	Nabe	cvbv	0
csobé	TobE	cvbv	0
hőbű	hWbY	cvbv	0
rebí	rebI	cvbv	0
díbu	dIbu	cvbv	0
tyübö	Kybw	cvbv	0
fébo	fEbo	cvbv	0
fobú	fobU	cvbv	0
cőbé	cWbE	cvbv	0
cobé	cobE	cvbv	0
píba	pIba	cvbv	0
zobö	zobw	cvbv	0
jíbé	jIbE	cvbv	0
dzébű	dzEbY	cvbv	0
rőbö	rWbw	cvbv	0
nyíbö	NIbw	cvbv	0
tőbü	tWby	cvbv	0
cöbá	cwbA	cvbv	0
rúbű	rUbY	cvbv	0
dzobö	dzobw	cvbv	0
zóbe	zObe	cvbv	0
vöbó	vwbO	cvbv	0
sábá	SAbA	cvbv	0
núbü	nUby	cvbv	0
nyábá	NAbA	cvbv	0
nűbö	nYbw	cvbv	0
cabő	cabW	cvbv	0
zsubé	ZubE	cvbv	0
dzsubé	DubE	cvbv	0
jubo	jubo	cvbv	0
cíbü	cIby	cvbv	0
pöbé	pwbE	cvbv	0
tyubö	Kubw	cvbv	0
dzebi	dzebi	cvbv	0
csőbé	TWbE	cvbv	0
fabe	fabe	cvbv	0
píbö	pIbw	cvbv	0
dzóbö	dzObw	cvbv	0
tyobu	Kobu	cvbv	0
tyébü	KEby	cvbv	0
vübu	vybu	cvbv	0
cíbí	cIbI	cvbv	0
vúbö	vUbw	cvbv	0
tebo	tebo	cvbv	0
kibű	kibY	cvbv	0
nyöbo	Nwbo	cvbv	0
dzübé	dzybE	cvbv	0
júba	jUba	cvbv	0
csübí	TybI	cvbv	0
tíbó	tIbO	cvbv	0
hőbü	hWby	cvbv	0
fibü	fiby	cvbv	0
nubé	nubE	cvbv	0
cűbi	cYbi	cvbv	0
műbű	mYbY	cvbv	0
zsübu	Zybu	cvbv	0
dzsúbá	DUbA	cvbv	0
pübü	pyby	cvbv	0
fóbű	fObY	cvbv	0
dzsibá	DibA	cvbv	0
nyűbo	NYbo	cvbv	0
dzsébő	DEbW	cvbv	0
gűbű	gYbY	cvbv	0
jébú	jEbU	cvbv	0
nyébu	NEbu	cvbv	0
dzsábü	DAby	cvbv	0
fabű	fabY	cvbv	0
dzsébu	DEbu	cvbv	0
síbű	SIbY	cvbv	0
tyábó	KAbO	cvbv	0
níbe	nIbe	cvbv	0
húbő	hUbW	cvbv	0
dibö	dibw	cvbv	0
zsobá	ZobA	cvbv	0
mébá	mEbA	cvbv	0
szébú	sEbU	cvbv	0
zsíbu	ZIbu	cvbv	0
fíbá	fIbA	cvbv	0
debí	debI	cvbv	0
sabá	SabA	cvbv	0
nóbí	nObI	cvbv	0
cűbí	cYbI	cvbv	0
júbű	jUbY	cvbv	0
zsíbú	ZIbU	cvbv	0
vúbó	vUbO	cvbv	0
zűbö	zYbw	cvbv	0
zíbe	zIbe	cvbv	0
víba	vIba	cvbv	0
píbo	pIbo	cvbv	0
tyebö	Kebw	cvbv	0
csobí	TobI	cvbv	0
mebú	mebU	cvbv	0
líbü	lIby	cvbv	0
kébá	kEbA	cvbv	0
csőbű	TWbY	cvbv	0
cíbű	cIbY	cvbv	0
dzúba	dzUba	cvbv	0
júbo	jUbo	cvbv	0
nyóbü	NOby	cvbv	0
föbu	fwbu	cvbv	0
rűbo	rYbo	cvbv	0
nábö	nAbw	cvbv	0
dőbá	dWbA	cvbv	0
nyeba	Neba	cvbv	0
pébo	pEbo	cvbv	0
zibő	zibW	cvbv	0
gúbí	gUbI	cvbv	0
löbí	lwbI	cvbv	0
labé	labE	cvbv	0
tyíbó	KIbO	cvbv	0
nyóbi	NObi	cvbv	0
kobű	kobY	cvbv	0
nyébó	NEbO	cvbv	0
szűdzsöp	sYDwp	cvcvc	0
kúsog	kUSog	cvcvc	0
nosóm	noSOm	cvcvc	0
csűgod	TYgod	cvcvc	0
pecsún	peTUn	cvcvc	0
szurév	surEv	cvcvc	0
dzsázőj	DAzWj	cvcvc	0
dzsejűty	DejYK	cvcvc	0
luvúf	luvUf	cvcvc	0
lájózs	lAjOZ	cvcvc	0
zödzűzs	zwdzYZ	cvcvc	0
zsőmuty	ZWmuK	cvcvc	0
hafód	hafOd	cvcvc	0
söcsír	SwTIr	cvcvc	0
kűszüm	kYsym	cvcvc	0
makús	makUS	cvcvc	0
dzsuvúcs	DuvUT	cvcvc	0
nűlany	nYlaN	cvcvc	0
tyimüty	KimyK	cvcvc	0
duzuk	duzuk	cvcvc	0
dzsűgacs	DYgaT	cvcvc	0
sedzég	SedzEg	cvcvc	0
szőhóz	sWhOz	cvcvc	0
nyöpős	NwpWS	cvcvc	0
cöfóh	cwfOh	cvcvc	0
línyőz	lINWz	cvcvc	0
dözop	dwzop	cvcvc	0
cökom	cwkom	cvcvc	0
vúműj	vUmYj	cvcvc	0
dátyűty	dAKYK	cvcvc	0
dzacop	dzacop	cvcvc	0
rúdzsóg	rUDOg	cvcvc	0
dzsasúg	DaSUg	cvcvc	0
nunuh	nunuh	cvcvc	0
pűleg	pYleg	cvcvc	0
fíjac	fIjac	cvcvc	0
fuhuk	fuhuk	cvcvc	0
hőrocs	hWroT	cvcvc	0
lászűdz	lAsYdz	cvcvc	0
rőgoty	rWgoK	cvcvc	0
sivöf	Sivwf	cvcvc	0
csőtász	TWtAs	cvcvc	0
zöcadzs	zwcaD	cvcvc	0
pühőcs	pyhWT	cvcvc	0
vévódz	vEvOdz	cvcvc	0
jűcúsz	jYcUs	cvcvc	0
rímín	rImIn	cvcvc	0
tídzsaty	tIDaK	cvcvc	0
zásödzs	zASwD	cvcvc	0
csézóh	TEzOh	cvcvc	0
työhőm	KwhWm	cvcvc	0
dőzsís	dWZIS	cvcvc	0
zsösáj	ZwSAj	cvcvc	0
csűdőny	TYdWN	cvcvc	0
túcőzs	tUcWZ	cvcvc	0
johócs	johOT	cvcvc	0
nyütisz	Nytis	cvcvc	0
züvur	zyvur	cvcvc	0
zsedzsát	ZeDAt	cvcvc	0
tyemész	KemEs	cvcvc	0
hímósz	hImOs	cvcvc	0
dóvüsz	dOvys	cvcvc	0
pugam	pugam	cvcvc	0
csitüc	TiKc	cvcvc	0
dzsűzén	DYzEn	cvcvc	0
dzonyít	dzoNIt	cvcvc	0
fimöd	fimwd	cvcvc	0
zuzij	zuzij	cvcvc	0
sűdzócs	SYdzOT	cvcvc	0
nelöty	nelwK	cvcvc	0
cuzöl	cuzwl	cvcvc	0
votém	votEm	cvcvc	0
csetyíf	TeKIf	cvcvc	0
gulór	gulOr	cvcvc	0
sészat	SEsat	cvcvc	0
lacsűg	laTYg	cvcvc	0
dzövádzs	dzwvAD	cvcvc	0
metyem	meKem	cvcvc	0
vápúh	vApUh	cvcvc	0
nűműzs	nYmYZ	cvcvc	0
kazézs	kazEZ	cvcvc	0
dúhűt	dUhYt	cvcvc	0
femún	femUn	cvcvc	0
dzsünyes	DyNeS	cvcvc	0
dzsönyösz	DwNws	cvcvc	0
nopőj	nopWj	cvcvc	0
gorüty	goryK	cvcvc	0
pícsev	pITev	cvcvc	0
púgún	pUgUn	cvcvc	0
möcüf	mwcyf	cvcvc	0
nyédzsak	NEDak	cvcvc	0
dzsuműh	DumYh	cvcvc	0
jócsűk	jOTYk	cvcvc	0
zotyuh	zoKuh	cvcvc	0
jovóf	jovOf	cvcvc	0
kavöt	kavwt	cvcvc	0
dzsútyőz	DUKWz	cvcvc	0
cínav	cInav	cvcvc	0
nyödzsül	NwDyl	cvcvc	0
dzúdzsím	dzUDIm	cvcvc	0
capép	capEp	cvcvc	0
föcsaj	fwTaj	cvcvc	0
zsőcój	ZWcOj	cvcvc	0
cínas	cInaS	cvcvc	0
licűc	licYc	cvcvc	0
céléh	cElEh	cvcvc	0
dötyóg	dwKOg	cvcvc	0
sügáz	SygAz	cvcvc	0
nötyój	nwKOj	cvcvc	0
nörig	nwrig	cvcvc	0
livúg	livUg	cvcvc	0
zádzsőz	zADWz	cvcvc	0
zsipuh	Zipuh	cvcvc	0
zsópédzs	ZOpED	cvcvc	0
múdzom	mUdzom	cvcvc	0
teladzs	telaD	cvcvc	0
tyatél	KatEl	cvcvc	0
gönűj	gwnYj	cvcvc	0
zűtídzs	zYtID	cvcvc	0
nyegüd	NeGd	cvcvc	0
söszon	Swson	cvcvc	0
nyiszéc	NisEc	cvcvc	0
sólűz	SOlYz	cvcvc	0
vötad	vwtad	cvcvc	0
gúpéz	gUpEz	cvcvc	0
zsöföm	Zwfwm	cvcvc	0
jüdődz	jydWdz	cvcvc	0
pörüd	pwryd	cvcvc	0
főjízs	fWjIZ	cvcvc	0
téhődz	tEhWdz	cvcvc	0
csázűt	TAzYt	cvcvc	0
jimac	jimac	cvcvc	0
zsödzsűn	ZwDYn	cvcvc	0
zovadzs	zovaD	cvcvc	0
hejádzs	hejAD	cvcvc	0
lícsüj	lITyj	cvcvc	0
pocsög	poTwg	cvcvc	0
zsimeh	Zimeh	cvcvc	0
dzőgudz	dzWgudz	cvcvc	0
nyűdzőj	NYdzWj	cvcvc	0
voződ	vozWd	cvcvc	0
cápöp	cApwp	cvcvc	0
hővot	hWvot	cvcvc	0
dzúcől	dzUcWl	cvcvc	0
dázőn	dAzWn	cvcvc	0
nyűvót	NYvOt	cvcvc	0
fodzözs	fodzwZ	cvcvc	0
szökúj	swkUj	cvcvc	0
túvőp	tUvWp	cvcvc	0
tigédzs	tigED	cvcvc	0
zsezazs	ZezaZ	cvcvc	0
sorusz	Sorus	cvcvc	0
tyanid	Kanid	cvcvc	0
dzsodzsíc	DoDIc	cvcvc	0
dzsűzsam	DYZam	cvcvc	0
dzocol	dzocol	cvcvc	0
zírör	zIrwr	cvcvc	0
pöjes	pwjeS	cvcvc	0
jícűzs	jIcYZ	cvcvc	0
cőláv	cWlAv	cvcvc	0
vovőh	vovWh	cvcvc	0
gévőcs	gEvWT	cvcvc	0
dzalöny	dzalwN	cvcvc	0
zűgul	zYgul	cvcvc	0
súdzsőd	SUDWd	cvcvc	0
tínyádz	tINAdz	cvcvc	0
dépőj	dEpWj	cvcvc	0
mónyőn	mONWn	cvcvc	0
szídzön	sIdzwn	cvcvc	0
szájój	sAjOj	cvcvc	0
széfic	sEfic	cvcvc	0
súnyudz	SUNudz	cvcvc	0
gudzsov	guDov	cvcvc	0
kijig	kijig	cvcvc	0
gúrac	gUrac	cvcvc	0
csúpüz	TUpyz	cvcvc	0
lűszedz	lYsedz	cvcvc	0
lászüc	lAsyc	cvcvc	0
lözász	lwzAs	cvcvc	0
szóhen	sOhen	cvcvc	0
jágil	jAgil	cvcvc	0
rejém	rejEm	cvcvc	0
csőgádz	TWgAdz	cvcvc	0
dzsésüp	DESyp	cvcvc	0
lűtot	lYtot	cvcvc	0
tyovony	KovoN	cvcvc	0
rólör	rOlwr	cvcvc	0
tyegűj	KegYj	cvcvc	0
sosís	SoSIS	cvcvc	0
jícsíny	jITIN	cvcvc	0
züdzsízs	zyDIZ	cvcvc	0
főkűdz	fWkYdz	cvcvc	0
ninűk	ninYk	cvcvc	0
csónyüv	TONyv	cvcvc	0
zényok	zENok	cvcvc	0
zítany	zItaN	cvcvc	0
szópűr	sOpYr	cvcvc	0
dzusúty	dzuSUK	cvcvc	0
työlucs	KwluT	cvcvc	0
kódéz	kOdEz	cvcvc	0
cátyüf	cAKyf	cvcvc	0
vácúg	vAcUg	cvcvc	0
csüdzic	Tydzic	cvcvc	0
tyányócs	KANOT	cvcvc	0
töszos	twsoS	cvcvc	0
mőtyizs	mWKiZ	cvcvc	0
fátaf	fAtaf	cvcvc	0
nyádzsáf	NADAf	cvcvc	0
mesüc	meSyc	cvcvc	0
pílif	pIlif	cvcvc	0
hülár	hylAr	cvcvc	0
simig	Simig	cvcvc	0
nűvícs	nYvIT	cvcvc	0
cevéd	cevEd	cvcvc	0
cídzin	cIdzin	cvcvc	0
zafük	zafyk	cvcvc	0
dzsönyím	DwNIm	cvcvc	0
rényáv	rENAv	cvcvc	0
dészős	dEsWS	cvcvc	0
nigag	nigag	cvcvc	0
rafáty	rafAK	cvcvc	0
fözsüty	fwZyK	cvcvc	0
léhös	lEhwS	cvcvc	0
kízsaz	kIZaz	cvcvc	0
penóp	penOp	cvcvc	0
cudzúny	cudzUN	cvcvc	0
pűnusz	pYnus	cvcvc	0
dzíresz	dzIres	cvcvc	0
pizsuk	piZuk	cvcvc	0
fűlázs	fYlAZ	cvcvc	0
demog	demog	cvcvc	0
csüzsus	TyZuS	cvcvc	0
csöcócs	TwcOT	cvcvc	0
cősizs	cWSiZ	cvcvc	0
nyíkún	NIkUn	cvcvc	0
lónyid	lONid	cvcvc	0
szídep	sIdep	cvcvc	0
jokodzs	jokoD	cvcvc	0
kígöny	kIgwN	cvcvc	0
pökún	pwkUn	cvcvc	0
hídzüdzs	hIdzyD	cvcvc	0
dzsőnyék	DWNEk	cvcvc	0
jamiv	jamiv	cvcvc	0
nyőtyáv	NWKAv	cvcvc	0
púnyűd	pUNYd	cvcvc	0
kászűs	kAsYS	cvcvc	0
hánádz	hAnAdz	cvcvc	0
saműm	SamYm	cvcvc	0
tyúzsúsz	KUZUs	cvcvc	0
gécsóz	gETOz	cvcvc	0
jútyez	jUKez	cvcvc	0
kúfaz	kUfaz	cvcvc	0
pűciv	pYciv	cvcvc	0
cásóz	cASOz	cvcvc	0
gótőcs	gOtWT	cvcvc	0
muréc	murEc	cvcvc	0
jojőc	jojWc	cvcvc	0
cöfúcs	cwfUT	cvcvc	0
dedzsur	deDur	cvcvc	0
katyécs	kaKET	cvcvc	0
govöc	govwc	cvcvc	0
nécőt	nEcWt	cvcvc	0
jópál	jOpAl	cvcvc	0
szűjóc	sYjOc	cvcvc	0
zsöfüd	Zwfyd	cvcvc	0
zónyöcs	zONwT	cvcvc	0
fólósz	fOlOs	cvcvc	0
süzsuc	SyZuc	cvcvc	0
